ProductID,SKU,ProductName,Brand,CategoryID,SupplierID,CostPrice,SellingPrice,LaunchDate,Status
1,SKU-01-00001,"Asus ThinkPad E14",Asus,1,32,176.47,310.49,2021-07-24,Active
2,SKU-02-00002,"Sennheiser Tune 510BT",Sennheiser,2,36,419.05,871.94,2025-08-13,Active
3,SKU-03-00003,"Alphason Ergonomic Mesh Chair",Alphason,3,7,588.67,1038.15,2024-07-10,Active
4,SKU-04-00004,"IKEA Wardrobe 2-Door",IKEA,4,22,368.74,629.55,2025-06-11,Active
5,SKU-05-00005,"Staples A4 Notebook",Staples,5,49,6.93,11.23,2024-06-06,Active
6,SKU-06-00006,"Epson Wireless All-in-One Printer",Epson,6,90,861.8,1892.21,2020-12-16,Discontinued
7,SKU-07-00007,"Philips Coffee Machine Barista",Philips,7,63,143.54,219.88,2020-12-10,Active
8,SKU-08-00008,"IKEA Cushion Cover Set",IKEA,8,41,56.16,101.37,2023-10-27,Discontinued
9,SKU-09-00009,"Domyos Adjustable Dumbbell Set",Domyos,9,8,864.9,1146.95,2021-05-03,Active
10,SKU-10-00010,"The North Face Portable Camping Stove","The North Face",10,9,609.32,897.8,2021-12-26,Active
11,SKU-11-00011,"Nintendo Xbox Series X",Nintendo,11,75,537.09,987.39,2020-09-24,Active
12,SKU-12-00012,"Microsoft Xbox Wireless Controller",Microsoft,12,120,238.39,449.66,2022-03-26,Active
13,SKU-13-00013,"Adidas Hooded Sweatshirt",Adidas,13,51,122.14,227.57,2020-05-13,Active
14,SKU-14-00014,"Next Wrap Dress",Next,14,120,69.93,117.86,2022-08-20,Discontinued
15,SKU-15-00015,"Samsonite Leather Wallet",Samsonite,15,69,195.77,294.03,2025-04-18,Active
16,SKU-16-00016,"Fossil Digital Sports Watch",Fossil,16,48,260.06,433.33,2023-09-13,Discontinued
17,SKU-17-00017,"Bosch American Style Fridge Freezer",Bosch,17,104,590.31,742.27,2019-12-05,Discontinued
18,SKU-18-00018,"Vax Cordless Vacuum Cleaner",Vax,18,113,125.19,170.22,2023-02-26,Active
19,SKU-01-00019,"Google MacBook Air",Google,1,35,257.17,372.92,2022-12-17,Active
20,SKU-02-00020,"Bose AirPods Pro 2",Bose,2,65,442.24,933.16,2020-08-20,Active
21,SKU-03-00021,"IKEA Conferenc eTable",IKEA,3,107,252.63,316.64,2023-07-10,Active
22,SKU-04-00022,"Habitat Bedside Table",Habitat,4,95,400.44,769,2022-08-02,Discontinued
23,SKU-05-00023,"Staples Sticky Notes Pack",Staples,5,10,850.82,1622.06,2023-04-22,Active
24,SKU-06-00024,"HP EcoTank ET-2810",HP,6,75,499.51,828.34,2019-05-10,Active
25,SKU-07-00025,"Breville Blender Pro",Breville,7,116,840.11,1826.05,2021-10-15,Active
26,SKU-08-00026,"Habitat Wall Mirror Round",Habitat,8,88,228.33,307.71,2023-11-04,Discontinued
27,SKU-09-00027,"Bowflex Exercise Biek",Bowflex,9,96,143.33,305.78,2019-09-05,Active
28,SKU-10-00028,"Regatta Hiking Boots",Regatta,10,4,165.53,352.29,2024-03-14,Active
29,SKU-11-00029,"Nintendo Xbox Series X",Nintendo,11,35,147.48,282.6,2019-01-13,Active
30,SKU-12-00030,"Logitech HyperX Cloud II Headset",Logitech,12,29,183.62,389.74,2022-09-18,Active
31,SKU-13-00031,"Zara Bomber Jacket",Zara,13,102,784.83,1147.25,2025-04-09,"Out of Stock"
32,SKU-14-00032,"H&M Leggings",H&M,14,43,254.35,334.71,2021-09-30,Active
33,SKU-15-00033,"Herschel Suitcase Cabin 55cm",Herschel,15,66,362.71,791.47,2025-04-23,Discontinued
34,SKU-16-00034,"Michael Kors Chronograph Watch","Michael Kors",16,15,789.95,1183.47,2024-12-05,Discontinued
35,SKU-17-00035,"Bosch Washing Machine 8kg",Bosch,17,14,538.93,850.65,2022-03-22,Active
36,SKU-18-00036,"Bosch Upright Vacuum Cleaner",Bosch,18,66,108.5,228.34,2020-05-06,Active
37,SKU-01-00037,"Acer XPS 13",Acer,1,91,395.27,689.32,2025-07-04,Discontinued
38,SKU-02-00038,"Samsung HD 450BT",Samsung,2,47,391.01,841.23,2021-03-02,Active
